4.074,928
0.635,935
1.392,562
4.002,149
3.394,777
3.278,179
0.485,844
3.474,328
2.194,393
3.828,815
3.547,774
1.38,697
3.276,170
2.926,233
3.757,264
0.746,267
4.204,264
4.072,253
0.983,260
1.758,851
3.786,773
2.654,798
0.811,814
0.828,618
1.315,671
3.446,767
1.145,935
0.762,846
4.087,890
1.299,820
0.909,273
0.727,143
1.199,130
0.919,249
1.688,922
3.246,750
3.724,197
3.434,191
1.842,642
2.434,449
4.088,814
3.112,603
1.038,311
4.222,203
1.129,178
1.555,945
2.975,272
3.014,729
1.108,124
1.483,329
0.427,272
0.493,271
1.677,697
0.682,739
0.533,671
3.575,925
3.494,206
3.088,880
4.028,592
0.914,249
0.298,699
4.091,838
3.612,157
3.298,533
4.157,823
2.634,429
3.284,644
1.862,206
0.263,756
1.507,719
3.332,554
3.491,684
0.89,135
0.782,876
2.948,235
1.259,300
3.086,275
3.651,355
4.089,270
0.807,187
3.48,718
2.654,671
0.528,627
0.454,276
0.768,291
1.203,693
1.445,689
1.274,233
3.339,865
1.722,800
2.312,437
1.612,804
0.879,740
1.705,623
0.958,757
1.214,939
1.345,785
0.943,297
3.417,561
3.238,696
1.044,727
1.181,126
4.21,853
1.282,630
4.35,274
2.724,664
2.719,739
1.829,783
3.14,791
0.96,146
1.738,157
2.931,272
0.222,774
3.417,722
1.351,205
4.043,774
1.887,225
1.638,689
3.845,175
3.744,846
3.95,329
0.558,143
2.914,835
4.007,237
2.873,866
3.693,602
1.233,684
0.417,642
3.305,748
3.845,597
4.225,218
2.762,646
0.615,214
0.732,197
0.213,652
1.351,217
2.825,657
0.528,149
0.832,637
2.795,875
0.271,185
1.679,184
1.044,927
3.728,755
0.67,221
4.486,205
0.404,797
0.545,846
1.69,304
0.242,685
3.649,725
3.907,298
3.463,572
3.901,348
3.039,760
3.419,139
3.614,117
0.587,657
1.644,671
3.746,599
3.7,244
1.832,381
3.425,614
3.86,214
1.144,659
1.47,246
0.561,804
1.458,620
3.474,777
0.937,276
3.864,714
0.626,137
3.615,546
0.544,648
0.632,141
0.841,204
1.587,327
1.088,260
0.831,639
0.37,702
0.805,777
3.428,304
2.653,853
2.113,371
2.792,761
2.122,442
1.451,328
3.269,980
1.202,783
3.797,759
